,antecedents,consequents,support,confidence,lift
68,"frozenset({'玩具', '运动户外'})",frozenset({'服装'}),0.011870218939593774,0.5172413793103449,1.0553617163431201
71,"frozenset({'食品', '运动户外'})",frozenset({'服装'}),0.02848852545502506,0.5070422535211268,1.034551767006777
59,frozenset({'运动户外'}),frozenset({'服装'}),0.06330783434450013,0.49382716049382713,1.0075881407061886
63,"frozenset({'电子产品', '运动户外'})",frozenset({'服装'}),0.02769717752571881,0.49295774647887325,1.0058142179232554
31,"frozenset({'家居', '母婴'})",frozenset({'电子产品'}),0.012134001582695859,0.4842105263157895,1.0019880487244313
56,"frozenset({'汽车用品', '家居'})",frozenset({'电子产品'}),0.012397784225797943,0.47474747474747475,0.9824059371002603
26,frozenset({'母婴'}),frozenset({'电子产品'}),0.06357161698760222,0.4716242661448141,0.9759430092549074
30,"frozenset({'母婴', '食品'})",frozenset({'电子产品'}),0.02716961223951464,0.46818181818181814,0.9688194720127034
4,frozenset({'电子产品'}),frozenset({'食品'}),0.22474281192297546,0.4650655021834061,0.967121952154302
5,frozenset({'食品'}),frozenset({'电子产品'}),0.22474281192297546,0.46736149204607785,0.967121952154302
48,"frozenset({'家居', '玩具'})",frozenset({'食品'}),0.018728567660247955,0.46405228758169936,0.9650149326506978
54,"frozenset({'汽车用品', '食品'})",frozenset({'电子产品'}),0.02374043787918755,0.46391752577319584,0.9599952730383109
8,"frozenset({'食品', '服装'})",frozenset({'电子产品'}),0.1012925349512002,0.4632086851628468,0.9585284527578342
38,frozenset({'玩具'}),frozenset({'电子产品'}),0.09258770772883144,0.46306068601583117,0.9582221946976069
0,frozenset({'电子产品'}),frozenset({'服装'}),0.22500659456607755,0.4656113537117904,0.9500175683107629
1,frozenset({'服装'}),frozenset({'电子产品'}),0.22500659456607755,0.45909580193756727,0.9500175683107629
14,"frozenset({'办公', '服装'})",frozenset({'电子产品'}),0.02585069902400422,0.45794392523364486,0.947633963188181
65,"frozenset({'电子产品', '运动户外'})",frozenset({'食品'}),0.025586916380902137,0.45539906103286387,0.9470202086536407
66,"frozenset({'食品', '运动户外'})",frozenset({'电子产品'}),0.025586916380902137,0.45539906103286387,0.9423678167989011
28,frozenset({'母婴'}),frozenset({'服装'}),0.0622527037720918,0.46183953033268105,0.9423216681868642
32,"frozenset({'家居', '母婴'})",frozenset({'食品'}),0.011342653653389607,0.45263157894736844,0.9412651211132604
18,frozenset({'家居'}),frozenset({'食品'}),0.1078871010287523,0.4514348785871965,0.9387765357784212
34,"frozenset({'母婴', '服装'})",frozenset({'电子产品'}),0.028224742811922974,0.45338983050847453,0.9382100695729405
7,"frozenset({'电子产品', '服装'})",frozenset({'食品'}),0.1012925349512002,0.4501758499413833,0.9361583363290094
72,"frozenset({'服装', '运动户外'})",frozenset({'食品'}),0.02848852545502506,0.45,0.935792649478881
17,"frozenset({'玩具', '办公'})",frozenset({'食品'}),0.01292534951200211,0.44954128440366975,0.9348387324049984
50,frozenset({'汽车用品'}),frozenset({'电子产品'}),0.05328409390662094,0.45089285714285715,0.9330430247972552
39,frozenset({'玩具'}),frozenset({'服装'}),0.09126879451332102,0.4564643799472296,0.9313543941765056
3,frozenset({'服装'}),frozenset({'食品'}),0.21867581113162754,0.4461786867599569,0.9278460787202395
2,frozenset({'食品'}),frozenset({'服装'}),0.21867581113162754,0.45474492594624244,0.9278460787202395
37,"frozenset({'母婴', '办公'})",frozenset({'电子产品'}),0.006858348720654181,0.44827586206896547,0.9276276163228429
40,frozenset({'玩具'}),frozenset({'食品'}),0.08915853336850435,0.44591029023746703,0.9272879376249246
53,"frozenset({'汽车用品', '电子产品'})",frozenset({'食品'}),0.02374043787918755,0.44554455445544555,0.9265273757216643
16,"frozenset({'家居', '办公'})",frozenset({'电子产品'}),0.01424426272751253,0.4462809917355372,0.9234995849723917
6,"frozenset({'电子产品', '食品'})",frozenset({'服装'}),0.1012925349512002,0.4507042253521127,0.9196015706726905
